|num_files_total|count_moving_mean|count_moving_std|files_size_MB_total|size_moving_mean|size_moving_std
2025-07-06 13:50:00|65|1001.9166666666666|1155.8716080267934|29.890587|463.2940077499988|735.6620040808144
2025-07-06 13:55:00|1241|1002.0|1155.890369133062|107.990555|461.9215273333321|736.3666390326148
2025-07-06 14:00:00|170|910.9166666666666|1176.3370310442838|110.01161|458.8538556666654|737.8737943818479
2025-07-06 14:05:00|1234|1007.8333333333334|1148.4244411234542|110.31888|465.9621795833321|733.7136364079797
2025-07-06 14:10:00|58|1006.4166666666666|1149.6895595478609|30.239685|465.7968908333321|733.8204462957614
2025-07-06 14:15:00|1233|761.75|593.1972115731832|124.05406|317.2080624999988|579.8000517389366
2025-07-06 14:20:00|49|666.25|609.1406950480762|16.983349|308.3837894166655|583.8184712009901
2025-07-06 14:25:00|91|666.3333333333334|609.0547569551641|245.40344|326.3133129999988|577.7726918042539
2025-07-06 14:30:00|1514|684.0|631.818875081386|281.77228|279.45085299999874|554.2840845193925
2025-07-06 14:35:00|1241|684.5|632.2967513898825|101.76958|277.94898466666547|554.7802126639675
2025-07-06 14:40:00|1230|781.0|618.5362486622017|2039.3103|279.4636513333321|559.9726484372342
2025-07-06 14:45:00|3424|962.5|980.8333655158307|671.4138|322.42984383333214|569.3255142557695
2025-07-06 14:50:00|1218|1058.5833333333333|940.5687310764744|143.95667|331.9353507499988|564.9325103744045
2025-07-06 14:55:00|1250|1059.3333333333333|940.730985924674|112.24782|332.29012283333213|564.7804065074515
2025-07-06 15:00:00|127|1055.75|944.5008421960841|30.062609|325.62770608333216|568.1026685867307
2025-07-06 15:05:00|55|957.5|984.7376669587148|30.022408|318.9363334166655|571.3329208292892
2025-07-06 15:10:00|1243|1056.25|944.9474372106263|97.374146|324.5308718333321|568.5710023959821
2025-07-06 15:15:00|1214|1054.6666666666667|944.6402233205893|455.36127|352.1398059999988|565.9891931567932
2025-07-06 15:20:00|1223|1152.5|890.2456759998254|139.53426|362.3523819166655|560.4706740776802
2025-07-06 15:25:00|1221|1246.6666666666667|825.1398044996498|124.64528|352.28920191666543|563.8353677914423
2025-07-06 15:30:00|177|1135.25|874.5475843387536|26.610338|331.0257067499988|571.49580393772
2025-07-06 15:35:00|84|1038.8333333333333|924.1978176021773|30.36412|325.0752517499988|574.4638699154638
2025-07-06 15:40:00|1245|1040.0833333333333|924.4899781484876|1913.7062|314.60824341666546|540.5323895894735
2025-07-06 15:45:00|1224|856.75|551.7684173307274|114.1501|268.1696017499988|530.94449281219
2025-07-06 15:50:00|1253|859.6666666666666|553.9398282605727|117.50516|265.9653092499988|531.5616113826003
2025-07-06 15:55:00|82|762.3333333333334|581.0697553702817|30.872276|259.1840139166655|534.2133596434461
2025-07-06 16:00:00|200|768.4166666666666|574.1546288926061|79.014275|263.26331941666547|532.4888285355584
2025-07-06 16:05:00|1230|866.3333333333334|540.642098608588|128.66707|271.4837079166654|529.3127454814618
2025-07-06 16:10:00|1230|865.25|539.8311394231797|109.79188|272.51851908333214|528.9534320003779
2025-07-06 16:15:00|1236|867.0833333333334|541.1589345324179|122.19252|244.7544565833321|527.2247564468063
2025-07-06 16:20:00|3418|1050.0|914.5480751815091|470.4543|272.33112658333215|529.8686662941839
2025-07-06 16:25:00|52|952.5833333333334|955.9984269988433|120.01042|271.94488824999877|529.9877817576688
